Name,Year,Duration,Genre,Rating,Director,Actor1,Actor2,Actor3
#Gadhvi (He thought he was Gandhi),2019,109,Drama,7,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
#Yaaram,2019,110,"Comedy, Romance",4.4,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
...Aur Pyaar Ho Gaya,1997,147,"Comedy, Drama, Musical",4.7,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
...Yahaan,2005,142,"Drama, Romance, War",7.4,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
?: A Question Mark,2012,82,"Horror, Mystery, Thriller",5.6,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
@Andheri,2014,116,"Action, Crime, Thriller",4,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
1:1.6 An Ode to Lost Love,2004,96,Drama,6.2,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni
1:13:7 Ek Tera Saath,2016,120,Horror,5.9,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani
100 Days,1991,161,"Horror, Romance, Thriller",6.5,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
100% Love,2012,166,"Comedy, Drama, Romance",5.7,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
102 Not Out,2018,102,"Comedy, Drama",7.4,Umesh Shukla,Amitabh Bachchan,Rishi Kapoor,Vijay Raaz
10ml LOVE,2010,87,"Comedy, Drama, Romance",6.3,Sharat Katariya,Neil Bhoopalam,Anusha Bose,Manu Rishi Chadha
12 O'Clock,1958,132,"Crime, Drama, Mystery",7.2,Pramod Chakravorty,Guru Dutt,Waheeda Rehman,Shashikala
12 O'Clock,2021,105,"Horror, Thriller",4.4,Ram Gopal Varma,Mithun Chakraborty,Makrand Deshpande,Dalip Tahil
127 B,2017,116,"Comedy, Horror",6.6,Seshu Kmr,Mast Ali,Aziz Naser,Heena Shaik
13B: Fear Has a New Address,2009,146,"Drama, Horror, Mystery",7.3,Vikram K. Kumar,Madhavan,Neetu Chandra,Poonam Dhillon
15 Park Avenue,2005,116,Drama,7.1,Aparna Sen,Shabana Azmi,Konkona Sen Sharma,Rahul Bose
15th August,1993,168,Drama,5.6,Vicky Ranawat,Ronit Roy,Tisca Chopra,Shakti Kapoor
16-Dec,2002,158,"Action, Thriller",6.9,Mani Shankar,Milind Soman,Danny Denzongpa,Gulshan Grover
18.11,2014,126,Action,3.5,Mohibul Haque,Rehal Khan,Gulshan Grover,Mukesh Tiwari
19 Revolutions,2004,94,Drama,4.5,Sridhar Reddy,Tarun Arora,Gulshan Grover,Vinay Pandey
1920,2008,138,"Horror, Mystery, Romance",6.4,Vikram Bhatt,Rajniesh Duggall,Adah Sharma,Anjori Alagh
1920 London,2016,120,"Horror, Mystery",4.1,Dharmendra Suresh Desai,Sharman Joshi,Meera Chopra,Vishal Karwal
1920: Evil Returns,2012,124,"Drama, Horror, Romance",4.8,Bhushan Patel,Vicky Ahuja,Tia Bajpai,Tarakesh Chauhan
1921,2018,144,"Horror, Mystery, Romance",4.5,Vikram Bhatt,Zareen Khan,Karan Kundra,Vikram Bhatt
1942: A Love Story,1994,157,"Action, Drama, History",7.2,Vidhu Vinod Chopra,Anil Kapoor,Jackie Shroff,Manisha Koirala
1971,2007,136,"Action, Drama, War",8.1,Amrit Sagar,Manoj Bajpayee,Ravi Kishan,Deepak Dobriyal
1978: A Teen Night Out,2019,107,Thriller,4,Aziz Zee,Abuzar Akhtar,Apurva Godbole,Vaishnavi Kadam
1982 - A Love Marriage,2017,113,Comedy,5.5,Prashant Gore,Amitkumar Sharma,Omna,Rita Agarwal
2 Nights in Soul Valley,2012,80,"Adventure, Horror, Mystery",6.8,Harish Sharma,Hemant Pandey,Sumeet Sharma,Sumeet Sharma
2-Oct,2003,122,"Action, Crime, Thriller",5,Sunil Tiwari,Ashutosh Rana,Rocky Verma,Saadhika
2 States,2014,149,"Comedy, Drama, Romance",6.9,Abhishek Varman,Arjun Kapoor,Alia Bhatt,Amrita Singh
2,2018,148,"Action, Sci-Fi",6.2,S. Shankar,Rajinikanth,Akshay Kumar,Amy Jackson
2001: Do Hazaar Ek,1998,149,"Crime, Mystery, Thriller",3.5,Raj N. Sippy,Jackie Shroff,Dimple Kapadia,Tabu
2016 the End,2017,130,Comedy,6.1,Jaideep Chopra,Divyendu Sharma,Kiku Sharda,Harshad Chopda
22 Days,2018,124,Thriller,6.1,Shivam Tiwari,Rahul Dev,Shivam Tiwari,Sophia Singh
22 June 1897,1979,121,"Drama, History",7.7,Jayoo Patwardhan,Nachiket Patwardhan,Sadashiv Amrapurkar,Udayan Dixit
22 Yards,2019,126,Sport,6.1,Mitali Ghoshal,Barun Sobti,Amartya Ray,Rajit Kapoor
23rd March 1931: Shaheed,2002,188,"Biography, Drama, History",5.1,Guddu Dhanoa,Bobby Deol,Sunny Deol,Amrita Singh
27 Down,1974,115,Drama,6.9,Awtar Krishna Kaul,Sudhir Dalvi,Rakhee Gulzar,Sadhu Meher
3 AM: A Paranormal Experience,2014,103,"Horror, Romance",5,Vishal Mahadkar,Salil Acharya,Kavin Dave,Jason Matthew Ethier
3 Bachelors,2012,114,"Comedy, Romance",3.3,Ajai Sinha,Sharman Joshi,Negar Khan,Nigaar Khan
3 Deewarein,2003,115,"Crime, Drama",7.8,Nagesh Kukunoor,Naseeruddin Shah,Jackie Shroff,Juhi Chawla
3 Dev,2019,122,Comedy,6.9,Ankush Bhatt,Karan Singh Grover,Ravi Dubey,Kunaal Roy Kapur
3 Idiots,2009,170,"Comedy, Drama",8.4,Rajkumar Hirani,Aamir Khan,Madhavan,Mona Singh
3 Storeys,2018,100,Drama,6.9,Arjun Mukerjee,Aisha Ahmed,Tarun Anand,Richa Chadha
3.0 Megapixel,2015,99,"Adventure, Drama",4.3,Divakar Ghodake,Seema Azmi,Meenal Chirankar,Pooja Kasekar
31st October,2015,109,"Action, Drama, History",5.8,Shivaji Lotan Patil,Soha Ali Khan,Lakha Lakhwinder Singh,Nagesh Bhonsle
36 China Town,2006,140,"Comedy, Mystery, Thriller",5.7,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,Akshaye Khanna,Kareena Kapoor
36 Chowringhee Lane,1981,122,"Drama, Romance",7.5,Aparna Sen,Jennifer Kendal,Dhritiman Chatterjee,Debashree Roy
376 D,2020,128,"Crime, Thriller",5.7,Gunveen Kaur,Robin Sikarwar,Vivek Kumar,Deeksha Joshi
377 AbNormal,2019,93,Drama,5.6,Faruk Kabir,Muntazir Ahmad,Shashank Arora,Mohd. Zeeshan Ayyub
3D Saamri,1985,102,Horror,5.6,Shyam Ramsay,Tulsi Ramsay,Rajan Sippy,Arti Gupta
3G: A Killer Connection,2013,125,"Horror, Sci-Fi, Thriller",3.6,Sheershak Anand,Shantanu Ray Chhibber,Neil Nitin Mukesh,Sonal Chauhan
3rd EYE,2019,145,Horror,6.3,Sanjay Niranjan,Deepak Bhatia,Mukul Dev,Sakshi Dwivedi
404: Error Not Found,2011,121,"Drama, Mystery, Thriller",7.3,Prawaal Raman,Rajvvir Aroraa,Imaaduddin Shah,Nishikant Kamat
417 Miles,2016,75,Drama,4.8,Mainak Dhar,Marilia Colturato,Kyara Jacob,Kyara Ralella Jacob
498A-The Wedding Gift,2012,113,"Drama, Family, Musical",7.8,Suhaib Ilyasi,Srishti Gautam,Farida Jalal,Supriya Karnik
5 Ghantey Mien 5 Crore,2012,111,Thriller,5.7,Faisal Saif,Nassar Abdulla,Shawar Ali,Rashid Khan
5 Rifles,1974,134,"Action, Comedy",6.5,I.S. Johar,Rakesh Khanna,Rajesh Khanna,Ambika Johar
5ters: Castle of Dark Master,2011,110,"Action, Adventure, Fantasy",4.6,G. Venugopal,Akash,Avinash,Gagan
6-5=2,2014,104,Horror,4.2,Bharat Jain,Prashantt Guptha,Gaurav Paswala,Gaurav Kothari
68 Pages,2007,92,Drama,6.2,Sridhar Rangayan,Mouli Ganguly,Joy Sengupta,Jayati Bhatia
7 1/2 Phere: More Than a Wedding,2005,136,"Comedy, Drama",5.3,Ishaan Trivedi,Juhi Chawla,Irrfan Khan,Manoj Pahwa
7 Bijliyaan,1988,126,Action,5,Raju Saigal,Tina Ambani,Shoma Anand,Krishan Dhawan
7 Hours to Go,2016,115,"Crime, Thriller",5.7,Saurabh Varma,Sandeepa Dhar,Natasa Stankovic,Shiv Panditt
7 Islands and a Metro,2006,100,Documentary,6.2,Dutta Madhusree,Vibha Chhibber,Harish Khanna,Om Prakash
7 Khoon Maaf,2011,137,"Drama, Mystery, Thriller",6.1,Vishal Bhardwaj,Priyanka Chopra Jonas,Vivaan Shah,Neil Nitin Mukesh
7 Saal Baad,1987,127,"Drama, Horror, Musical",4.1,S.U. Syed,Sharmila Tagore,Suresh Oberoi,Navin Nischol
706,2019,120,Thriller,5.3,Shravankumar Tiwari,Mohan Agashe,Raayo S. Bakhirta,Divya Dutta
72 Hours: Martyr Who Never Died,2019,130,"Action, Biography, Drama",5.3,Avinash Dhyani,Avinash Dhyani,Yeshi Dema,Alka Amin
8 x 10 Tasveer,2009,122,"Action, Fantasy, Mystery",5.4,Nagesh Kukunoor,Akshay Kumar,Ayesha Takia,Javed Jaffrey
8119 Miles,2021,115,"Adventure, Drama, Mystery",6.6,Joe Eshwar,Ranji Vijayan,Kuriakose Oonnittan,Guy Bleyaert
88 Antop Hill,2003,119,"Mystery, Thriller",4.7,Kushan Nandy,Atul Kulkarni,Rahul Dev,Suchitra Pillai
9 O' Clock,2017,124,Action,5.3,Amrit Raj Thakur,Arun Bakshi,Ajeet Goswami,Rohit Rajawat
