Name,overall,Action,Adventure,Sci-Fi,Drama,Comedy,Romance,Musical,War,Horror,History,Mystery,Thriller,Crime,Sport,Biography,Fantasy,Family,Documentary,Music,Animation,News,Western,average,Votes
#Gadhvi (He thought he was Gandhi),7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8
#Yaaram,4.4,0,0,0,0,4.4,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,35
...Aur Pyaar Ho Gaya,4.7,0,0,0,4.7,4.7,0,4.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,827
?: A Question Mark,5.6,0,0,0,0,0,0,0,0,5.6,0,5.6,5.6,0,0,0,0,0,0,0,0,0,0,5.6,326
@Andheri,4,4,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,4,11
1:1.6 An Ode to Lost Love,6.2,0,0,0,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.2,17
1:13:7 Ek Tera Saath,5.9,0,0,0,0,0,0,0,0,5.9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9,59
100 Days,6.5,0,0,0,0,0,6.5,0,0,6.5,0,0,6.5,0,0,0,0,0,0,0,0,0,0,6.5,983
100% Love,5.7,0,0,0,5.7,5.7,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.7,512
102 Not Out,7.4,0,0,0,7.4,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,6619
10ml LOVE,6.3,0,0,0,6.3,6.3,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,162
12 O'Clock,7.2,0,0,0,7.2,0,0,0,0,0,0,7.2,0,7.2,0,0,0,0,0,0,0,0,0,7.2,72
12 O'Clock,4.4,0,0,0,0,0,0,0,0,4.4,0,0,4.4,0,0,0,0,0,0,0,0,0,0,4.4,63
127 B,6.6,0,0,0,0,6.6,0,0,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6,26
13B: Fear Has a New Address,7.3,0,0,0,7.3,0,0,0,0,7.3,0,7.3,0,0,0,0,0,0,0,0,0,0,0,7.3,6329
15 Park Avenue,7.1,0,0,0,7.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1,1002
15th August,5.6,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6,15
16-Dec,6.9,6.9,0,0,0,0,0,0,0,0,0,0,6.9,0,0,0,0,0,0,0,0,0,0,6.9,1235
18.11,3.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,10
19 Revolutions,4.5,0,0,0,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5,16
